textbox22,Textbox9
generated on 05/03/2020 21:11:39 UTC,Data from: All sites

Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Spain,European Region of WHO,South West Europe,2018,28,2018-07-09,2018-07-15,47,136,0,0,0,,0,0,0,0,0,0,0,44,No Report
Spain,European Region of WHO,South West Europe,2018,29,2018-07-16,2018-07-22,62,152,0,0,0,,1,1,0,0,0,0,1,62,No Report
Spain,European Region of WHO,South West Europe,2018,30,2018-07-23,2018-07-29,40,109,0,0,0,,0,0,0,0,0,0,0,40,No Report
Spain,European Region of WHO,South West Europe,2018,31,2018-07-30,2018-08-05,39,113,0,0,0,,0,0,0,0,0,0,0,39,No Report
Spain,European Region of WHO,South West Europe,2018,32,2018-08-06,2018-08-12,35,106,0,0,0,,0,0,0,0,0,0,0,35,No Report
Spain,European Region of WHO,South West Europe,2018,33,2018-08-13,2018-08-19,30,88,0,0,0,,0,0,0,0,0,0,0,30,No Report
Spain,European Region of WHO,South West Europe,2018,34,2018-08-20,2018-08-26,34,94,0,0,0,,0,0,0,0,1,1,1,34,No Report
Spain,European Region of WHO,South West Europe,2018,35,2018-08-27,2018-09-02,27,76,0,0,0,,1,1,0,0,0,0,1,27,No Report
Spain,European Region of WHO,South West Europe,2018,36,2018-09-03,2018-09-09,19,72,0,0,0,,0,0,0,0,0,0,0,19,No Report
Spain,European Region of WHO,South West Europe,2018,37,2018-09-10,2018-09-16,30,85,0,0,2,,0,2,0,0,0,0,2,29,No Report
Spain,European Region of WHO,South West Europe,2018,38,2018-09-17,2018-09-23,34,128,0,0,0,,0,0,0,0,0,0,0,34,No Report
Spain,European Region of WHO,South West Europe,2018,39,2018-09-24,2018-09-30,24,115,0,2,0,0,0,2,0,0,0,0,2,23,No Report
Spain,European Region of WHO,South West Europe,2018,40,2018-10-01,2018-10-07,27,178,0,1,1,,2,4,0,0,1,1,5,27,No Report
Spain,European Region of WHO,South West Europe,2018,41,2018-10-08,2018-10-14,26,174,0,1,0,,0,1,0,0,0,0,1,26,No Report
Spain,European Region of WHO,South West Europe,2018,42,2018-10-15,2018-10-21,46,181,0,0,0,,0,0,0,0,0,0,0,46,Sporadic
Spain,European Region of WHO,South West Europe,2018,43,2018-10-22,2018-10-28,59,230,0,1,2,0,1,4,0,0,1,1,5,58,Sporadic
Spain,European Region of WHO,South West Europe,2018,44,2018-10-29,2018-11-04,44,231,0,0,0,,0,0,0,0,1,1,1,45,Sporadic
Spain,European Region of WHO,South West Europe,2018,45,2018-11-05,2018-11-11,83,332,0,2,1,,1,4,0,0,2,2,6,81,Sporadic
Spain,European Region of WHO,South West Europe,2018,46,2018-11-12,2018-11-18,77,347,0,8,1,0,0,9,0,0,1,1,10,87,Sporadic
Spain,European Region of WHO,South West Europe,2018,47,2018-11-19,2018-11-25,79,401,0,6,3,0,5,14,0,0,0,0,14,83,Sporadic
Spain,European Region of WHO,South West Europe,2018,48,2018-11-26,2018-12-02,95,462,0,4,5,,7,16,0,0,2,2,18,98,Sporadic
Spain,European Region of WHO,South West Europe,2018,49,2018-12-03,2018-12-09,67,448,0,9,17,0,17,43,0,0,1,1,44,68,Sporadic
Spain,European Region of WHO,South West Europe,2018,50,2018-12-10,2018-12-16,91,625,0,33,15,,57,105,0,0,3,3,108,90,Local Outbreak
Spain,European Region of WHO,South West Europe,2018,51,2018-12-17,2018-12-23,103,746,0,55,42,,93,190,0,0,1,1,191,102,Local Outbreak
Spain,European Region of WHO,South West Europe,2018,52,2018-12-24,2018-12-30,74,841,0,86,49,0,217,352,0,0,0,0,352,74,Regional Outbreak
Spain,European Region of WHO,South West Europe,2019,1,2018-12-31,2019-01-06,91,1113,0,146,82,0,271,499,0,0,3,3,502,82,Regional Outbreak
Spain,European Region of WHO,South West Europe,2019,2,2019-01-07,2019-01-13,157,1993,0,336,166,0,574,1076,0,0,3,3,1079,138,Regional Outbreak
Spain,European Region of WHO,South West Europe,2019,3,2019-01-14,2019-01-20,165,2946,0,598,386,0,894,1878,0,0,3,3,1881,110,Widespread Outbreak
Spain,European Region of WHO,South West Europe,2019,4,2019-01-21,2019-01-27,265,3610,0,629,522,0,1203,2354,0,0,1,1,2355,174,Widespread Outbreak
Spain,European Region of WHO,South West Europe,2019,5,2019-01-28,2019-02-03,201,3508,0,581,603,0,1149,2333,0,0,3,3,2336,89,Widespread Outbreak
Spain,European Region of WHO,South West Europe,2019,6,2019-02-04,2019-02-10,260,3608,0,511,670,0,1178,2359,0,0,5,5,2364,147,Widespread Outbreak
Spain,European Region of WHO,South West Europe,2019,7,2019-02-11,2019-02-17,228,2928,0,331,555,0,1034,1920,0,0,4,4,1924,122,Widespread Outbreak
Spain,European Region of WHO,South West Europe,2019,8,2019-02-18,2019-02-24,197,2406,0,249,488,0,729,1466,0,0,5,5,1471,117,Widespread Outbreak
Spain,European Region of WHO,South West Europe,2019,9,2019-02-25,2019-03-03,220,1736,0,173,360,0,328,861,0,0,1,1,862,117,Widespread Outbreak
Spain,European Region of WHO,South West Europe,2019,10,2019-03-04,2019-03-10,154,1350,0,74,278,0,278,630,0,0,8,8,638,100,No Report
Spain,European Region of WHO,South West Europe,2019,11,2019-03-11,2019-03-17,153,1024,0,64,175,0,169,408,0,0,7,7,415,105,No Report
Spain,European Region of WHO,South West Europe,2019,12,2019-03-18,2019-03-24,116,797,0,37,131,0,58,226,0,0,5,5,231,73,No Report
Spain,European Region of WHO,South West Europe,2019,13,2019-03-25,2019-03-31,90,617,0,28,67,0,49,144,0,0,0,0,144,79,No Report
Spain,European Region of WHO,South West Europe,2019,14,2019-04-01,2019-04-07,127,622,0,20,69,0,48,137,0,0,6,6,143,109,No Report
Spain,European Region of WHO,South West Europe,2019,15,2019-04-08,2019-04-14,103,526,0,10,34,0,22,66,0,0,3,3,69,98,No Report
Spain,European Region of WHO,South West Europe,2019,16,2019-04-15,2019-04-21,58,450,0,5,19,0,34,58,0,0,2,2,60,55,No Report
Spain,European Region of WHO,South West Europe,2019,17,2019-04-22,2019-04-28,71,358,0,4,13,0,14,31,0,0,2,2,33,68,No Report
Spain,European Region of WHO,South West Europe,2019,18,2019-04-29,2019-05-05,62,412,0,2,14,0,5,21,0,0,1,1,22,59,No Report
Spain,European Region of WHO,South West Europe,2019,19,2019-05-06,2019-05-12,51,205,0,2,14,0,3,19,0,0,1,1,20,46,No Report
Spain,European Region of WHO,South West Europe,2019,20,2019-05-13,2019-05-19,47,167,0,0,6,0,3,9,0,0,0,0,9,46,No Report
Spain,European Region of WHO,South West Europe,2019,21,2019-05-20,2019-05-26,52,237,0,1,5,0,4,10,0,0,1,1,11,50,No Report
Spain,European Region of WHO,South West Europe,2019,22,2019-05-27,2019-06-02,48,215,0,0,6,0,2,8,0,0,0,0,8,47,No Report
Spain,European Region of WHO,South West Europe,2019,23,2019-06-03,2019-06-09,55,166,0,0,2,0,3,5,0,0,0,0,5,54,No Report
Spain,European Region of WHO,South West Europe,2019,24,2019-06-10,2019-06-16,64,208,0,1,1,,1,3,0,0,0,0,3,64,No Report
Spain,European Region of WHO,South West Europe,2019,25,2019-06-17,2019-06-23,42,170,0,0,1,,0,1,0,0,0,0,1,42,No Report
Spain,European Region of WHO,South West Europe,2019,26,2019-06-24,2019-06-30,41,139,0,0,0,,0,0,0,0,0,0,0,42,No Report
Spain,European Region of WHO,South West Europe,2019,27,2019-07-01,2019-07-07,26,123,0,0,0,,0,0,0,0,0,0,0,26,No Report
Spain,European Region of WHO,South West Europe,2019,28,2019-07-08,2019-07-14,27,114,0,1,1,,0,2,0,0,0,0,2,27,No Report
Spain,European Region of WHO,South West Europe,2019,29,2019-07-15,2019-07-21,28,110,0,0,3,,0,3,0,0,0,0,3,28,No Report
Spain,European Region of WHO,South West Europe,2019,30,2019-07-22,2019-07-28,37,114,0,0,5,0,0,5,0,0,0,0,5,36,No Report
Spain,European Region of WHO,South West Europe,2019,31,2019-07-29,2019-08-04,34,120,0,0,0,,0,0,0,0,0,0,0,34,No Report
Spain,European Region of WHO,South West Europe,2019,32,2019-08-05,2019-08-11,21,93,0,0,2,,0,2,0,0,0,0,2,21,No Report
Spain,European Region of WHO,South West Europe,2019,33,2019-08-12,2019-08-18,17,66,0,0,0,,0,0,0,0,0,0,0,17,No Report
Spain,European Region of WHO,South West Europe,2019,34,2019-08-19,2019-08-25,24,64,0,0,1,,0,1,0,0,0,0,1,34,No Report
Spain,European Region of WHO,South West Europe,2019,35,2019-08-26,2019-09-01,40,125,0,2,0,0,1,3,0,0,0,0,3,39,No Report
Spain,European Region of WHO,South West Europe,2019,36,2019-09-02,2019-09-08,35,80,0,1,0,,0,1,0,0,0,0,1,35,No Report
Spain,European Region of WHO,South West Europe,2019,37,2019-09-09,2019-09-15,36,112,0,3,2,,0,5,0,0,1,1,6,36,No Report
Spain,European Region of WHO,South West Europe,2019,38,2019-09-16,2019-09-22,35,112,0,2,1,,0,3,0,0,0,0,3,35,No Report
Spain,European Region of WHO,South West Europe,2019,39,2019-09-23,2019-09-29,44,67,0,0,1,,0,1,0,0,0,0,1,44,No Report
Spain,European Region of WHO,South West Europe,2019,40,2019-09-30,2019-10-06,43,169,0,0,1,,0,1,0,0,0,0,1,43,No Report
Spain,European Region of WHO,South West Europe,2019,41,2019-10-07,2019-10-13,46,161,0,0,0,,1,1,0,0,1,1,2,46,No Report
Spain,European Region of WHO,South West Europe,2019,42,2019-10-14,2019-10-20,47,165,0,1,0,,0,1,0,0,0,0,1,48,No Report
Spain,European Region of WHO,South West Europe,2019,43,2019-10-21,2019-10-27,64,245,0,1,2,,0,3,0,1,1,2,5,62,No Report
Spain,European Region of WHO,South West Europe,2019,44,2019-10-28,2019-11-03,47,231,0,1,1,,0,2,0,0,2,2,4,48,No Report
Spain,European Region of WHO,South West Europe,2019,45,2019-11-04,2019-11-10,58,292,0,1,3,,0,4,0,0,2,2,6,58,No Report
Spain,European Region of WHO,South West Europe,2019,46,2019-11-11,2019-11-17,79,366,0,5,2,,0,7,0,0,3,3,10,77,No Report
Spain,European Region of WHO,South West Europe,2019,47,2019-11-18,2019-11-24,76,453,0,12,2,,1,15,0,0,8,8,23,75,No Report
Spain,European Region of WHO,South West Europe,2019,48,2019-11-25,2019-12-01,67,511,0,18,5,,2,25,0,1,18,19,44,68,No Report
Spain,European Region of WHO,South West Europe,2019,49,2019-12-02,2019-12-08,91,546,0,25,4,,2,31,0,0,17,17,48,91,No Report
Spain,European Region of WHO,South West Europe,2019,50,2019-12-09,2019-12-15,66,657,0,36,2,0,4,42,0,0,24,24,66,59,No Report
Spain,European Region of WHO,South West Europe,2019,51,2019-12-16,2019-12-22,105,866,0,83,11,0,7,101,0,0,42,42,143,107,No Report
Spain,European Region of WHO,South West Europe,2019,52,2019-12-23,2019-12-29,73,956,0,150,9,0,59,218,0,0,48,48,266,67,No Report

